OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,Order Quantity,Discount Applied,Unit Price,Unit Cost,Customer Names,Product Name,Sales Team,City Name,Population,Household Income,Median Income,State,Unit Profit
SO - 0003528,Online,WARE-NMK1003,2019-02-04,2019-07-07,2019-07-10,2019-07-19,USD,8,0.15,1688.4,1080.576,Burt's Corp,Computers,Carl Nguyen,Peoria,115070,47239,45552,Illinois,607.8240000000001
SO - 0003529,In-Store,WARE-NMK1003,2019-05-15,2019-07-08,2019-07-18,2019-07-21,USD,5,0.05,2479.0,1065.97,"3LAB, Ltd",Pillows,Joshua Bennett,Thornton (Township),169468,62380,41024,Illinois,1413.03
SO - 0003530,Wholesale,WARE-XYS1001,2019-05-15,2019-07-08,2019-07-19,2019-07-27,USD,6,0.05,214.4,175.808,Llorens Ltd,Serveware,Donald Reynolds,Oxnard,207254,50815,60621,California,38.59200000000001
SO - 0003531,Online,WARE-XYS1001,2019-02-04,2019-07-08,2019-08-01,2019-08-04,USD,6,0.3,1902.8,1046.54,Weimei Corp,Mirrors,Roger Alexander,Inglewood,111666,36667,42044,California,856.26
SO - 0003532,In-Store,WARE-PUJ1005,2019-02-04,2019-07-08,2019-07-28,2019-08-01,USD,4,0.05,268.0,214.4,Apollo Ltd,Mirrors,Carl Nguyen,Rochester,209802,85741,30960,New York,53.599999999999994
SO - 0003533,In-Store,WARE-XYS1001,2019-02-04,2019-07-08,2019-07-23,2019-07-24,USD,8,0.15,884.4,725.208,Procter Corp,Vanities,Chris Armstrong,Anaheim,350742,99670,60752,California,159.192
SO - 0003534,Online,WARE-NMK1003,2019-02-04,2019-07-08,2019-07-26,2019-08-05,USD,7,0.1,1118.9,939.8760000000001,OHTA'S Corp,Cookware,Roger Alexander,Topeka,127265,52711,42250,Kansas,179.024
SO - 0003535,Online,WARE-XYS1001,2019-02-04,2019-07-08,2019-07-30,2019-08-05,USD,4,0.075,1976.5,1462.61,21st Ltd,Wardrobes,Anthony Berry,Mesa,471825,168914,48809,Arizona,513.8900000000001
SO - 0003536,In-Store,WARE-XYS1001,2019-05-15,2019-07-09,2019-07-27,2019-08-03,USD,5,0.1,6411.900000000001,3526.5450000000005,Weimei Corp,Cocktail Glasses,Joshua Bennett,Fullerton,140847,45031,65974,California,2885.355
SO - 0003537,Online,WARE-MKL1006,2019-02-04,2019-07-09,2019-07-26,2019-08-04,USD,5,0.075,1279.7,870.1960000000001,Eminence Corp,Wardrobes,Roger Alexander,The Woodlands,102911,38114,109917,Texas,409.5039999999999
SO - 0003538,In-Store,WARE-NBV1002,2019-02-04,2019-07-09,2019-07-25,2019-07-30,USD,2,0.05,1051.9,831.0010000000001,Avon Corp,Festive,Joshua Ryan,San Mateo,103536,37861,90208,California,220.899
SO - 0003539,Online,WARE-NMK1003,2019-02-04,2019-07-09,2019-07-31,2019-08-01,USD,1,0.05,1889.4,1020.2760000000001,Llorens Ltd,Cookware,Anthony Torres,Gainesville,130128,47968,31818,Florida,869.124
SO - 0003540,Online,WARE-UHY1004,2019-02-04,2019-07-09,2019-07-28,2019-08-07,USD,2,0.05,1078.7,528.563,Bare ,Computers,Anthony Torres,Springfield,154341,55644,34728,Massachusetts,550.1370000000001
SO - 0003541,Online,WARE-UHY1004,2019-02-04,2019-07-09,2019-07-11,2019-07-16,USD,2,0.15,2505.8,1678.8860000000002,"Fenwal, Corp",Furniture Cushions,Todd Roberts,Lincoln,277348,107574,49840,Nebraska,826.914
SO - 0003542,Online,WARE-MKL1006,2019-05-15,2019-07-10,2019-07-29,2019-08-04,USD,5,0.15,2847.5,1708.5,Ole Group,Blankets,Roger Alexander,San Angelo,100450,36409,44802,Texas,1139.0
SO - 0003543,In-Store,WARE-PUJ1005,2019-05-15,2019-07-10,2019-07-16,2019-07-17,USD,2,0.05,2780.5,1445.8600000000001,Rochester Ltd,Furniture Cushions,Jonathan Hawkins,Syracuse,144142,54781,31881,New York,1334.6399999999999
SO - 0003544,Distributor,WARE-PUJ1005,2019-02-04,2019-07-10,2019-07-29,2019-08-02,USD,7,0.05,2358.4,1249.952,Medline ,Accessories,Douglas Tucker,Oklahoma City,631346,232254,47779,Oklahoma,1108.448
SO - 0003545,In-Store,WARE-PUJ1005,2019-05-15,2019-07-10,2019-08-02,2019-08-07,USD,3,0.05,6411.900000000001,4680.687,Pure Group,Basketball,Keith Griffin,Carrollton,133168,45263,69368,Texas,1731.2130000000006
SO - 0003546,In-Store,WARE-XYS1001,2019-02-04,2019-07-10,2019-07-20,2019-07-23,USD,6,0.075,1118.9,469.93800000000005,Ascend Ltd,Serveware,George Lewis,Elk Grove,166913,49316,79487,California,648.962
SO - 0003547,Distributor,WARE-NBV1002,2019-05-15,2019-07-10,2019-08-05,2019-08-15,USD,2,0.1,5279.6,3431.7400000000002,Sundial ,Dining Furniture,Joe Price,Stockton,305658,92440,44797,California,1847.8600000000001
SO - 0003548,Wholesale,WARE-PUJ1005,2019-05-15,2019-07-10,2019-07-16,2019-07-26,USD,6,0.15,1172.5,644.875,Weimei Corp,Wall Frames,Donald Reynolds,Akron,197542,83684,34512,Ohio,527.625
SO - 0003549,Distributor,WARE-XYS1001,2019-05-15,2019-07-10,2019-07-16,2019-07-19,USD,8,0.1,1045.2,480.79200000000003,Bare ,Bar Tools,Patrick Graham,Little Rock,197992,79902,46085,Arkansas,564.408
SO - 0003550,Online,WARE-UHY1004,2019-05-15,2019-07-10,2019-08-07,2019-08-08,USD,5,0.05,1025.1000000000001,635.5620000000001,Avon Corp,Collectibles,Paul Holmes,Metairie,140074,59557,52421,Louisiana,389.538
SO - 0003551,In-Store,WARE-NBV1002,2019-02-04,2019-07-10,2019-08-04,2019-08-11,USD,6,0.1,5420.3,3577.398,Bare ,Floral,Jonathan Hawkins,San Francisco,864816,353287,81294,California,1842.902
SO - 0003552,Distributor,WARE-MKL1006,2019-02-04,2019-07-11,2019-07-26,2019-07-30,USD,2,0.05,844.2,616.266,AuroMedics Corp,Wreaths,Patrick Graham,Waco,132356,46719,33147,Texas,227.93400000000008
SO - 0003553,In-Store,WARE-NMK1003,2019-02-04,2019-07-11,2019-07-17,2019-07-19,USD,4,0.15,3859.2000000000003,3241.728,Llorens Ltd,Vases,Joshua Ryan,Aurora,200661,61449,63090,Illinois,617.4720000000002
SO - 0003554,Online,WARE-PUJ1005,2019-05-15,2019-07-11,2019-08-01,2019-08-08,USD,5,0.1,3986.5,2232.44,Nipro ,Audio,Paul Holmes,Knoxville,185291,81073,34226,Tennessee,1754.06
SO - 0003555,In-Store,WARE-NMK1003,2019-05-15,2019-07-12,2019-08-07,2019-08-14,USD,5,0.15,1829.1000000000001,859.677,Rochester Ltd,Wine Storage,Jonathan Hawkins,Boulder,107349,42165,58484,Colorado,969.4230000000001
SO - 0003556,Wholesale,WARE-NMK1003,2019-02-04,2019-07-12,2019-07-25,2019-07-26,USD,8,0.3,2425.4,1455.24,Apollo Ltd,Phones,Donald Reynolds,Aurora,200661,61449,63090,Illinois,970.1600000000001
SO - 0003557,Online,WARE-NMK1003,2019-02-04,2019-07-12,2019-07-17,2019-07-21,USD,2,0.15,1078.7,679.581,Linde ,Outdoor Decor,Todd Roberts,Waterbury (Town),108802,40213,40467,Connecticut,399.119
SO - 0003558,Distributor,WARE-NMK1003,2019-02-04,2019-07-12,2019-08-03,2019-08-13,USD,7,0.1,3189.2000000000003,2423.7920000000004,Procter Corp,Photo Frames,Joe Price,Bloomingdale (Township),113024,40097,68474,Illinois,765.4079999999999
SO - 0003559,Distributor,WARE-PUJ1005,2019-05-15,2019-07-12,2019-08-01,2019-08-08,USD,7,0.05,810.7,664.774,Eminence Corp,Bar Tools,Joe Price,Lubbock,249042,90433,44648,Texas,145.92600000000004
SO - 0003560,In-Store,WARE-NMK1003,2019-02-04,2019-07-12,2019-07-24,2019-07-30,USD,4,0.05,3819.0,2062.26,Eminence Corp,Platters,Adam Hernandez,Rockford,148278,58559,38716,Illinois,1756.7399999999998
SO - 0003561,Wholesale,WARE-NMK1003,2019-02-04,2019-07-13,2019-07-28,2019-08-03,USD,8,0.075,3564.4,2566.368,New Ltd,Computers,Shawn Torres,Aurora,200661,61449,63090,Illinois,998.0320000000002
SO - 0003562,Distributor,WARE-NMK1003,2019-05-15,2019-07-13,2019-07-29,2019-08-07,USD,1,0.05,2351.7000000000003,1011.2310000000001,"Fenwal, Corp",Audio,Joe Price,North,157105,58240,44334,Indiana,1340.469
SO - 0003563,Online,WARE-UHY1004,2019-02-04,2019-07-13,2019-07-28,2019-08-03,USD,1,0.3,1165.8,827.718,Trigen ,Photo Frames,Roger Alexander,Lincoln,277348,107574,49840,Nebraska,338.082
SO - 0003564,Online,WARE-NMK1003,2019-02-04,2019-07-13,2019-07-30,2019-08-04,USD,7,0.05,1112.2,633.954,"Fenwal, Corp",Phones,Anthony Torres,Miami Gardens,113187,31003,38253,Florida,478.2460000000001
SO - 0003565,Online,WARE-UHY1004,2019-05-15,2019-07-13,2019-08-07,2019-08-09,USD,5,0.1,877.7,623.167,Sundial ,Home Fragrances,Carl Nguyen,Grand Rapids,195097,73026,40355,Michigan,254.53300000000002
SO - 0003566,In-Store,WARE-PUJ1005,2019-05-15,2019-07-14,2019-08-05,2019-08-07,USD,6,0.15,1788.9,1431.1200000000001,Mylan Corp,Audio,Shawn Cook,Murfreesboro,126118,44518,51094,Tennessee,357.78
SO - 0003567,Distributor,WARE-NMK1003,2019-02-04,2019-07-14,2019-08-07,2019-08-10,USD,3,0.075,2546.0,1374.8400000000001,AuroMedics Corp,Collectibles,Joe Price,Savannah,145674,52798,36466,Georgia,1171.1599999999999
SO - 0003568,Online,WARE-NBV1002,2019-05-15,2019-07-14,2019-08-07,2019-08-17,USD,2,0.05,2465.6,1725.9199999999998,AuroMedics Corp,Bean Bags,Todd Roberts,Visalia,130104,41730,52157,California,739.6800000000001
SO - 0003569,Wholesale,WARE-PUJ1005,2019-05-15,2019-07-14,2019-07-17,2019-07-24,USD,1,0.15,5956.3,4228.973,"Exact-Rx, Corp",Bean Bags,Shawn Torres,Portland,632309,254167,55003,Oregon,1727.3270000000002
SO - 0003570,Online,WARE-PUJ1005,2019-05-15,2019-07-14,2019-08-08,2019-08-11,USD,5,0.05,1072.0,686.08,OUR Ltd,Sculptures,Anthony Berry,Providence,179207,61481,37501,Rhode Island,385.91999999999996
SO - 0003571,Online,WARE-MKL1006,2019-05-15,2019-07-14,2019-07-17,2019-07-22,USD,8,0.1,978.2,674.958,Qualitest ,Collectibles,Anthony Berry,Richardson,110815,40020,72427,Texas,303.2420000000001
SO - 0003572,In-Store,WARE-UHY1004,2019-05-15,2019-07-14,2019-07-26,2019-08-05,USD,5,0.2,180.9,79.596,Trigen ,Bar Tools,Joshua Bennett,Columbia,102116,39893,100849,Maryland,101.304
SO - 0003573,Distributor,WARE-NMK1003,2019-02-04,2019-07-14,2019-07-20,2019-07-28,USD,1,0.05,857.6,428.8,Weimei Corp,Sculptures,Samuel Fowler,Waterbury (Town),108802,40213,40467,Connecticut,428.8
SO - 0003574,Online,WARE-MKL1006,2019-02-04,2019-07-14,2019-08-01,2019-08-11,USD,1,0.075,5755.3,3740.945,Weimei Corp,Rugs,Roger Alexander,Provo,115264,32506,41291,Utah,2014.355
SO - 0003575,Distributor,WARE-PUJ1005,2019-02-04,2019-07-14,2019-07-24,2019-07-29,USD,8,0.075,2485.7000000000003,1988.5600000000004,"Elorac, Corp",Serveware,Joe Price,Columbus,850106,334724,45659,Ohio,497.1399999999999
SO - 0003576,In-Store,WARE-NMK1003,2019-05-15,2019-07-15,2019-07-28,2019-08-06,USD,1,0.1,864.3000000000001,639.582,S.S.S. Group,TV and video,Joshua Ryan,Lexington-Fayette,314488,125752,49778,Kentucky,224.71800000000007
SO - 0003577,In-Store,WARE-XYS1001,2019-02-04,2019-07-15,2019-07-18,2019-07-25,USD,8,0.075,817.4,498.614,Pure Group,Wall Frames,George Lewis,Oceanside,175691,60493,57703,California,318.786
SO - 0003578,In-Store,WARE-NMK1003,2019-02-04,2019-07-15,2019-07-19,2019-07-20,USD,5,0.075,1038.5,675.025,Prasco Group,Platters,Jonathan Hawkins,Peoria,115070,47239,45552,Illinois,363.475
SO - 0003579,In-Store,WARE-NMK1003,2019-02-04,2019-07-15,2019-07-17,2019-07-26,USD,4,0.15,1092.1000000000001,928.2850000000001,OHTA'S Corp,Clocks,Shawn Cook,Brandon,106604,40453,56464,Florida,163.81500000000005
SO - 0003580,Online,WARE-PUJ1005,2019-02-04,2019-07-15,2019-07-27,2019-08-05,USD,3,0.075,3825.7000000000003,1912.8500000000001,Ole Group,Computers,Paul Holmes,Clarksville,149176,51776,46947,Tennessee,1912.8500000000001
SO - 0003581,Online,WARE-PUJ1005,2019-02-04,2019-07-15,2019-07-21,2019-07-24,USD,2,0.1,167.5,128.975,Pacific Ltd,Cocktail Glasses,Roger Alexander,Providence,179207,61481,37501,Rhode Island,38.525000000000006
SO - 0003582,Distributor,WARE-NBV1002,2019-05-15,2019-07-15,2019-08-09,2019-08-13,USD,7,0.075,3939.6,2127.384,Burt's Corp,Bean Bags,Samuel Fowler,Stockton,305658,92440,44797,California,1812.216
SO - 0003583,In-Store,WARE-XYS1001,2019-02-04,2019-07-15,2019-08-05,2019-08-06,USD,5,0.15,261.3,167.232,Qualitest ,Candles,Keith Griffin,El Cajon,103679,32564,45925,California,94.06800000000001
SO - 0003584,In-Store,WARE-UHY1004,2019-05-15,2019-07-15,2019-07-22,2019-07-25,USD,5,0.15,2385.2000000000003,1454.9720000000002,Medline ,Platters,Joshua Ryan,Raleigh,451066,170366,55398,North Carolina,930.2280000000001
SO - 0003585,In-Store,WARE-NBV1002,2019-05-15,2019-07-15,2019-08-02,2019-08-12,USD,1,0.4,3865.9,3131.3790000000004,21st Ltd,Basketball,Joshua Little,San Francisco,864816,353287,81294,California,734.5209999999997
SO - 0003586,In-Store,WARE-PUJ1005,2019-05-15,2019-07-16,2019-08-02,2019-08-07,USD,5,0.05,3832.4,1571.2839999999999,WakeFern ,Bean Bags,Carl Nguyen,Philadelphia,1567442,581050,38253,Pennsylvania,2261.116
SO - 0003587,In-Store,WARE-NMK1003,2019-02-04,2019-07-16,2019-07-29,2019-08-05,USD,2,0.1,3852.5,2658.225,Avon Corp,Cookware,Joshua Little,Orlando,270934,105359,42318,Florida,1194.275
SO - 0003588,Online,WARE-XYS1001,2019-02-04,2019-07-16,2019-07-22,2019-07-27,USD,1,0.075,214.4,137.216,Mylan Corp,Furniture Cushions,Todd Roberts,Huntsville,190582,78554,48775,Alabama,77.184
SO - 0003589,Online,WARE-PUJ1005,2019-02-04,2019-07-16,2019-07-25,2019-08-04,USD,5,0.2,254.6,178.22,Niconovum Corp,Audio,Frank Brown,Knoxville,185291,81073,34226,Tennessee,76.38
SO - 0003590,Distributor,WARE-MKL1006,2019-02-04,2019-07-16,2019-08-01,2019-08-08,USD,5,0.3,1092.1000000000001,436.8400000000001,Capweld ,Bakeware,Douglas Tucker,Newport News,182385,69073,50077,Virginia,655.26
SO - 0003591,In-Store,WARE-MKL1006,2019-02-04,2019-07-17,2019-08-02,2019-08-07,USD,2,0.1,1688.4,911.7360000000001,Pacific Ltd,Floral,Joshua Bennett,West Jordan,111946,31742,68442,Utah,776.664
SO - 0003592,In-Store,WARE-NMK1003,2019-05-15,2019-07-17,2019-08-04,2019-08-08,USD,2,0.15,3021.7000000000003,1269.114,Avon Corp,Wreaths,Jerry Green,West Covina,108484,30816,69189,California,1752.5860000000002
SO - 0003593,Online,WARE-NMK1003,2019-02-04,2019-07-17,2019-07-25,2019-08-01,USD,8,0.4,3926.2000000000003,2866.126,Llorens Ltd,Cocktail Glasses,Nicholas Cunningham,Stamford (Town),128874,46974,79359,Connecticut,1060.074
SO - 0003594,In-Store,WARE-NBV1002,2019-02-04,2019-07-17,2019-07-27,2019-08-04,USD,1,0.15,2257.9,1241.8450000000003,OUR Ltd,Candleholders,Keith Griffin,Torrance,148475,55377,79549,California,1016.0549999999998
SO - 0003595,Online,WARE-NMK1003,2019-02-04,2019-07-17,2019-08-12,2019-08-21,USD,2,0.05,2586.2000000000003,2172.4080000000004,Bare ,Floor Lamps,Roger Alexander,Lakeland,104401,39376,39706,Florida,413.7919999999999
SO - 0003596,In-Store,WARE-PUJ1005,2019-02-04,2019-07-17,2019-07-26,2019-07-30,USD,1,0.05,1065.3,617.8739999999999,Dharma Ltd,Sculptures,George Lewis,The Bronx,1455444,523690,34299,New York,447.42600000000004
SO - 0003597,In-Store,WARE-MKL1006,2019-02-04,2019-07-17,2019-07-31,2019-08-04,USD,5,0.075,3075.3,1322.3790000000001,Uriel Group,Accessories,Keith Griffin,Renton,100242,37994,64802,Washington,1752.921
SO - 0003598,In-Store,WARE-PUJ1005,2019-05-15,2019-07-17,2019-07-19,2019-07-29,USD,7,0.05,1165.8,547.9259999999999,"Apotheca, Ltd",Stemware,Chris Armstrong,Charleston,132609,52450,55546,South Carolina,617.874
SO - 0003599,Online,WARE-MKL1006,2019-05-15,2019-07-17,2019-08-05,2019-08-09,USD,3,0.075,5875.900000000001,2467.878,"Fenwal, Corp",Dinnerware,Nicholas Cunningham,Richmond,220289,87224,40758,Virginia,3408.0220000000004
SO - 0003600,Wholesale,WARE-XYS1001,2019-02-04,2019-07-18,2019-07-26,2019-07-27,USD,3,0.075,207.70000000000002,145.39000000000001,Nipro ,Blankets,Shawn Torres,Gilbert,247542,73617,82424,Arizona,62.31
SO - 0003601,Wholesale,WARE-MKL1006,2019-02-04,2019-07-18,2019-08-05,2019-08-07,USD,2,0.1,1038.5,872.3399999999999,Nipro ,Basketball,Donald Reynolds,Virginia Beach,452745,166242,66634,Virginia,166.16000000000008
SO - 0003602,In-Store,WARE-PUJ1005,2019-02-04,2019-07-18,2019-08-13,2019-08-16,USD,1,0.4,6023.3,4758.407,Niconovum Corp,Table Lamps,Joshua Ryan,Manhattan,1644518,738644,47030,New York,1264.893
SO - 0003603,In-Store,WARE-PUJ1005,2019-05-15,2019-07-18,2019-07-24,2019-07-30,USD,5,0.05,964.8000000000001,501.696,Qualitest ,Bean Bags,Chris Armstrong,Clarksville,149176,51776,46947,Tennessee,463.10400000000004
SO - 0003604,Distributor,WARE-PUJ1005,2019-05-15,2019-07-18,2019-08-02,2019-08-05,USD,7,0.4,2371.8,1351.926,Linde ,Bar Tools,Patrick Graham,Laredo,255473,66308,39711,Texas,1019.8740000000003
SO - 0003605,Online,WARE-NMK1003,2019-02-04,2019-07-18,2019-08-07,2019-08-15,USD,5,0.2,884.4,742.896,Ei ,Clocks,Shawn Wallace,New Haven,130322,49771,37192,Connecticut,141.50400000000002
SO - 0003606,Wholesale,WARE-NBV1002,2019-05-15,2019-07-18,2019-08-08,2019-08-12,USD,7,0.05,2941.3,2058.91,Apollo Ltd,Blankets,Shawn Torres,Santa Maria,105093,27365,50433,California,882.3900000000003
SO - 0003607,In-Store,WARE-NMK1003,2019-02-04,2019-07-18,2019-08-04,2019-08-08,USD,1,0.05,1762.1000000000001,1251.0910000000001,S.S.S. Group,Platters,Joshua Bennett,Lakewood,152597,63159,56954,Colorado,511.009
SO - 0003608,In-Store,WARE-XYS1001,2019-02-04,2019-07-18,2019-08-12,2019-08-17,USD,3,0.05,6398.5,5118.8,Nipro ,Pillows,Jerry Green,El Cajon,103679,32564,45925,California,1279.6999999999998
SO - 0003609,Wholesale,WARE-NMK1003,2019-02-04,2019-07-19,2019-08-11,2019-08-14,USD,7,0.2,1963.1000000000001,1197.491,Select ,Bean Bags,Shawn Torres,Palm Bay,107888,37821,43163,Florida,765.6090000000002
SO - 0003610,In-Store,WARE-NMK1003,2019-02-04,2019-07-19,2019-08-01,2019-08-09,USD,1,0.1,1038.5,654.255,ETUDE Ltd,Table Lamps,Joshua Ryan,Miami Gardens,113187,31003,38253,Florida,384.245
SO - 0003611,In-Store,WARE-XYS1001,2019-05-15,2019-07-19,2019-08-12,2019-08-19,USD,7,0.05,1226.1000000000001,674.3550000000001,Bare ,Rugs,Joshua Ryan,Long Beach,474140,164406,52783,California,551.745
SO - 0003612,In-Store,WARE-MKL1006,2019-05-15,2019-07-19,2019-07-22,2019-07-23,USD,1,0.15,1219.4,841.386,Niconovum Corp,Bakeware,Carl Nguyen,Alexandria,153511,66879,89134,Virginia,378.0140000000001
SO - 0003613,In-Store,WARE-UHY1004,2019-05-15,2019-07-19,2019-07-21,2019-07-24,USD,6,0.3,5748.6,2989.2720000000004,Pure Group,TV and video,George Lewis,Edison,102701,35198,90515,New Jersey,2759.328
SO - 0003614,Distributor,WARE-MKL1006,2019-05-15,2019-07-19,2019-07-31,2019-08-03,USD,6,0.2,777.2,334.196,Trigen ,Stemware,Patrick Graham,Arlington,220173,98441,105763,Virginia,443.004
SO - 0003615,In-Store,WARE-MKL1006,2019-02-04,2019-07-19,2019-07-26,2019-07-27,USD,3,0.15,917.9,761.857,Nipro ,Wall Coverings,Jonathan Hawkins,Milwaukee,600155,230807,35958,Wisconsin,156.043
SO - 0003616,In-Store,WARE-NMK1003,2019-05-15,2019-07-19,2019-08-15,2019-08-23,USD,6,0.15,1051.9,462.83600000000007,Uriel Group,Stemware,George Lewis,Indianapolis,862781,316037,51682,Indiana,589.0640000000001
SO - 0003617,In-Store,WARE-PUJ1005,2019-02-04,2019-07-19,2019-08-11,2019-08-15,USD,5,0.1,1132.3,679.38,21st Ltd,Furniture Cushions,Adam Hernandez,Rochester,209802,85741,30960,New York,452.91999999999996
SO - 0003618,Distributor,WARE-PUJ1005,2019-05-15,2019-07-19,2019-07-24,2019-08-02,USD,1,0.15,6164.0,3020.36,Dharma Ltd,Bathroom Furniture,Joe Price,Oyster Bay,298768,98509,112162,New York,3143.64
SO - 0003619,In-Store,WARE-PUJ1005,2019-02-04,2019-07-19,2019-07-22,2019-07-29,USD,4,0.05,2539.3,2082.226,Nipro ,Clocks,George Lewis,Beaumont,118129,46193,40992,Texas,457.07400000000007
SO - 0003620,Distributor,WARE-UHY1004,2019-05-15,2019-07-20,2019-08-09,2019-08-15,USD,5,0.15,6117.1,3792.6020000000003,OHTA'S Corp,Wardrobes,Douglas Tucker,Paterson,147754,43037,32915,New Jersey,2324.498
SO - 0003621,Online,WARE-NMK1003,2019-02-04,2019-07-20,2019-07-28,2019-08-06,USD,1,0.075,3852.5,2465.6,Qualitest ,Wreaths,Shawn Wallace,Athens,123912,45389,39464,Georgia,1386.9
SO - 0003622,Online,WARE-UHY1004,2019-05-15,2019-07-20,2019-08-02,2019-08-10,USD,3,0.05,3832.4,2069.496,OHTA'S Corp,Floor Lamps,Paul Holmes,Lincoln,277348,107574,49840,Nebraska,1762.904
SO - 0003623,In-Store,WARE-PUJ1005,2019-05-15,2019-07-20,2019-08-03,2019-08-10,USD,8,0.1,1125.6000000000001,799.176,New Ltd,Outdoor Decor,Adam Hernandez,Sioux Falls,171544,65538,52494,South Dakota,326.4240000000001
SO - 0003624,In-Store,WARE-PUJ1005,2019-05-15,2019-07-20,2019-07-24,2019-07-29,USD,6,0.05,3088.7000000000003,1420.8020000000001,Ascend Ltd,Festive,Shawn Cook,Charleston,132609,52450,55546,South Carolina,1667.8980000000001
SO - 0003625,In-Store,WARE-XYS1001,2019-05-15,2019-07-20,2019-08-05,2019-08-09,USD,6,0.05,1038.5,841.1850000000001,"Apotheca, Ltd",Wardrobes,Jonathan Hawkins,Burbank,105319,41361,66076,California,197.31499999999994
SO - 0003626,Online,WARE-UHY1004,2019-05-15,2019-07-20,2019-08-02,2019-08-08,USD,7,0.1,757.1,431.54699999999997,Wuxi Group,Outdoor Decor,Nicholas Cunningham,Minneapolis,410939,168385,51480,Minnesota,325.55300000000005
SO - 0003627,Distributor,WARE-NMK1003,2019-05-15,2019-07-20,2019-07-25,2019-07-26,USD,7,0.05,214.4,100.768,Ei ,Outdoor Decor,Joe Price,Hialeah,237069,69219,29249,Florida,113.632
SO - 0003628,In-Store,WARE-NMK1003,2019-05-15,2019-07-21,2019-08-14,2019-08-16,USD,4,0.05,750.4,607.8240000000001,Victory Ltd,Furniture Cushions,Jonathan Hawkins,Wheeling (Township),155286,59425,73977,Illinois,142.5759999999999
SO - 0003629,Online,WARE-UHY1004,2019-05-15,2019-07-21,2019-08-17,2019-08-23,USD,6,0.2,1045.2,606.216,Dharma Ltd,Dining Furniture,Anthony Berry,Raleigh,451066,170366,55398,North Carolina,438.98400000000004
SO - 0003630,Online,WARE-NMK1003,2019-02-04,2019-07-21,2019-08-03,2019-08-09,USD,6,0.05,194.3,163.21200000000002,"Exact-Rx, Corp",Cocktail Glasses,Shawn Wallace,Aurora,359407,124031,53011,Colorado,31.087999999999994
SO - 0003631,In-Store,WARE-NMK1003,2019-05-15,2019-07-21,2019-08-13,2019-08-14,USD,7,0.075,234.5,147.735,Ascend Ltd,Baseball,Adam Hernandez,Savannah,145674,52798,36466,Georgia,86.76499999999999
SO - 0003632,In-Store,WARE-NMK1003,2019-05-15,2019-07-21,2019-08-02,2019-08-03,USD,4,0.075,3597.9,2698.425,"Apotheca, Ltd",Wreaths,Joshua Ryan,Schaumburg (Township),132162,49006,74034,Illinois,899.4749999999999
SO - 0003633,Online,WARE-NMK1003,2019-05-15,2019-07-21,2019-07-31,2019-08-02,USD,4,0.1,790.6,387.394,OHTA'S Corp,Table Lamps,Paul Holmes,Spring Hill,100270,39038,41308,Florida,403.206
SO - 0003634,Online,WARE-NBV1002,2019-05-15,2019-07-21,2019-07-30,2019-08-01,USD,5,0.1,6177.400000000001,3891.762,Pure Group,Floor Lamps,Roger Alexander,Victorville,122225,31886,45894,California,2285.6380000000004
SO - 0003635,Online,WARE-NBV1002,2019-02-04,2019-07-21,2019-08-18,2019-08-28,USD,6,0.075,1112.2,544.9780000000001,Apollo Ltd,Dinnerware,Shawn Wallace,San Jose,1026908,314297,84647,California,567.222
SO - 0003636,Wholesale,WARE-XYS1001,2019-02-04,2019-07-21,2019-07-29,2019-08-05,USD,1,0.1,1822.4,1530.816,S.S.S. Group,Cookware,Donald Reynolds,Tempe,175826,64810,49012,Arizona,291.58400000000006
SO - 0003637,Online,WARE-XYS1001,2019-02-04,2019-07-21,2019-07-28,2019-08-03,USD,5,0.05,737.0,302.16999999999996,Trigen ,Sculptures,Nicholas Cunningham,Chandler,260828,88973,72695,Arizona,434.83000000000004
SO - 0003638,In-Store,WARE-NMK1003,2019-05-15,2019-07-21,2019-07-31,2019-08-06,USD,1,0.1,790.6,656.198,E. Ltd,Wall Frames,Joshua Bennett,South Bend,101516,39448,34523,Indiana,134.40200000000004
SO - 0003639,In-Store,WARE-MKL1006,2019-05-15,2019-07-21,2019-08-11,2019-08-14,USD,7,0.05,1011.7,505.85,Select ,Audio,Joshua Little,Round Rock,115997,35580,72412,Texas,505.85
SO - 0003640,Distributor,WARE-NMK1003,2019-05-15,2019-07-22,2019-08-17,2019-08-26,USD,2,0.05,1165.8,489.63599999999997,Pacific Ltd,Table Lamps,Joe Price,Elgin (Township),104288,33089,63609,Illinois,676.164
SO - 0003641,In-Store,WARE-NMK1003,2019-02-04,2019-07-22,2019-07-29,2019-08-04,USD,2,0.075,2211.0,1392.93,Winthrop ,Bakeware,Chris Armstrong,Augusta,201793,73917,39464,Georgia,818.0699999999999
SO - 0003642,In-Store,WARE-XYS1001,2019-02-04,2019-07-22,2019-07-31,2019-08-10,USD,2,0.075,750.4,487.76,ETUDE Ltd,TV and video,Keith Griffin,Gilbert,247542,73617,82424,Arizona,262.64
SO - 0003643,In-Store,WARE-PUJ1005,2019-02-04,2019-07-22,2019-07-27,2019-08-04,USD,8,0.075,1051.9,725.811,Qualitest ,TV and video,George Lewis,Nashville,678889,248677,41759,Tennessee,326.08900000000006
